studyid,methodtype,reason for exclusion,search,initialid,Author,Title,Year,Journal,Volume,Number,Month,Pages,Identifier,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
HMK043,,,back-citation,,"Philippart CJM, Van Aken HM, Beukema JJ, Bos OG, Cad_e GC, Dekker R ",Climate-related changes in recruitment of the bivalve Macoma balthica. Limnology and Oceanography,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,check special issue of Marine Ecology Progress Series 2009- volume 393,,,,,,,,,,,,,,,,,,,,,,,,,,,
HMK011,,previous search(2014); yes fitness,2014 search,,"VATKA,E.;ORELL,M.;RYTKí_NEN,S.",Warming climate advances breeding and improves synchrony of food demand and food availability in a boreal passerine,,,,,,,,,,,,,,,,,,,,,,,,,,
HMK026,,,2014 search,,"Post,E.;Forchhammer,M. C.",Climate change reduces reproductive success of an Arctic herbivore through trophic mismatch,,,,,,,,,,,,,,,,,,,,,,,,,,
HMK029,,,2014 search,,"Winder,M.;Schindler,DE",Climate change uncouples trophic interactions in an aquatic ecosystem,,,,,,,,,,,,,,,,,,,,,,,,,,
HMK032,,,2014 search,,"George, D.S.","The effect of nutrient enrihment and changes in the weather on the abundance of Daphnia in Esthwaite Water, Cumbria",,,,,,,,,,,,,,,,,,,,,,,,,,
HMK035,,,2014 search,,Sullivan et al.,"Seasonality of the copepods Acartia hudsonica and Acartia tonsa in Narragansett Bay, RI, USA during a period of climate change",,,,,,,,,,,,,,,,,,,,,,,,,,
HMK036,,,2014 search,,"Wiltshire et al., 2008",,,,,,,,,,,,,,,,,,,,,,,,,,,
HMK039,,,2014 search,,Durant et al. 2012,Within and between species competition in a seabird community: statistical exploration and modeling of time-series data,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lizzie- peak nitrogen as proxy for plant phenology? Exclude GDD as proxy? NDVI, satellite?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lizzie- prioritize observational studies > experimental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lizzie- used GDD to predict phenology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lizzie- resource availability indexed by N concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lizzie- used seaice breakup date as proxy for polar bear timing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lizzie- sea-ice adjusted light as a proxy for the spring phytoplankton-bloom onset (i.e. microwave data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lizzie- used model/estimated some years where missing data- so far, not used (HMK002)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lizzie- multiple fitness measured in study- use one?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
for me: check all previous search studies saved here (e.g. HMK045) and check for fitness!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lizzie- HMK021- not sure species directly interact, ""potential"" used in paper, also families used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lizzie- estimates of phenology for animals too! See hmk022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lizzie- recruitment is modelled- see HMK024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lizzie-later phenophase (hatch date) AND only one given is estimated from earlier phenophase (lay date),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lizzie- analysis- standardize mismatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
